service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66301,1,1,1,1,1,0,0,20240531,20240608
66302,1,1,1,1,0,0,0,20240531,20240608
66303,0,1,1,1,1,0,0,20240531,20240608
66304,0,1,1,1,1,0,0,20240531,20240608
66305,0,0,0,0,1,0,0,20240531,20240608
66306,0,0,0,0,0,1,0,20240531,20240608
66307,0,0,0,0,0,1,0,20240531,20240608
66308,0,0,0,0,0,0,1,20240531,20240608
66309,0,0,0,0,0,0,1,20240531,20240608
66310,0,0,1,1,1,1,0,20240531,20240608
66311,0,1,1,1,1,1,0,20240531,20240608
66312,0,1,1,1,1,1,0,20240531,20240608
66313,1,0,0,0,0,0,0,20240531,20240608
66314,1,0,0,0,0,0,0,20240531,20240608
66315,1,0,0,0,0,0,0,20240531,20240608
66316,0,1,0,0,0,0,0,20240531,20240608
66317,0,1,0,0,0,0,0,20240531,20240608
66318,1,0,1,1,1,0,0,20240531,20240608
66319,1,0,1,1,1,0,0,20240531,20240608
66320,0,0,1,0,0,0,0,20240531,20240608
66321,0,0,1,0,0,0,0,20240531,20240608
66322,1,1,0,1,1,0,0,20240531,20240608
66323,1,1,0,1,1,0,0,20240531,20240608
66324,0,0,0,1,0,0,0,20240531,20240608
66325,0,0,0,1,0,0,0,20240531,20240608
66326,1,1,1,0,1,0,0,20240531,20240608
66327,1,1,1,0,1,0,0,20240531,20240608
66328,0,1,1,0,0,0,0,20240531,20240608
66329,0,1,1,0,0,0,0,20240531,20240608
66330,1,0,0,1,1,0,0,20240531,20240608
66331,1,0,0,1,1,0,0,20240531,20240608
66332,1,1,0,0,1,0,0,20240531,20240608
66333,1,1,0,0,1,0,0,20240531,20240608
66334,1,1,1,1,1,0,1,20240531,20240608
66335,1,1,1,1,1,0,1,20240531,20240608
66336,1,1,1,1,1,1,0,20240531,20240608
66337,1,1,1,1,1,1,0,20240531,20240608
66338,1,1,1,1,1,1,0,20240531,20240608
66339,1,1,1,1,1,0,0,20240531,20240608
66340,1,1,1,1,0,0,1,20240531,20240608
66341,0,1,1,0,1,0,0,20240531,20240608
66342,0,1,1,0,1,0,0,20240531,20240608
66401,1,1,1,1,1,0,0,20240609,20240731
66402,1,1,1,1,0,0,0,20240609,20240731
66403,0,1,1,1,1,0,0,20240609,20240731
66404,0,1,1,1,1,0,0,20240609,20240731
66405,0,0,0,0,1,0,0,20240609,20240731
66406,0,0,0,0,0,1,0,20240609,20240731
66407,0,0,0,0,0,1,0,20240609,20240731
66408,0,0,0,0,0,0,1,20240609,20240731
66409,0,0,0,0,0,0,1,20240609,20240731
66410,0,0,1,1,1,1,0,20240609,20240731
66411,0,1,1,1,1,1,0,20240609,20240731
66412,0,1,1,1,1,1,0,20240609,20240731
66413,1,0,0,0,0,0,0,20240609,20240731
66414,1,0,0,0,0,0,0,20240609,20240731
66415,1,0,0,0,0,0,0,20240609,20240731
66416,0,1,0,0,0,0,0,20240609,20240731
66417,0,1,0,0,0,0,0,20240609,20240731
66418,1,0,1,1,1,0,0,20240609,20240731
66419,1,0,1,1,1,0,0,20240609,20240731
66420,0,0,1,0,0,0,0,20240609,20240731
66421,0,0,1,0,0,0,0,20240609,20240731
66422,1,1,0,1,1,0,0,20240609,20240731
66423,1,1,0,1,1,0,0,20240609,20240731
66424,0,0,0,1,0,0,0,20240609,20240731
66425,0,0,0,1,0,0,0,20240609,20240731
66426,1,1,1,0,1,0,0,20240609,20240731
66427,1,1,1,0,1,0,0,20240609,20240731
66428,0,1,1,0,0,0,0,20240609,20240731
66429,0,1,1,0,0,0,0,20240609,20240731
66430,1,0,0,1,1,0,0,20240609,20240731
66431,1,0,0,1,1,0,0,20240609,20240731
66432,1,1,0,0,1,0,0,20240609,20240731
66433,1,1,0,0,1,0,0,20240609,20240731
66434,1,1,1,1,1,0,1,20240609,20240731
66435,1,1,1,1,1,0,1,20240609,20240731
66436,1,1,1,1,1,1,0,20240609,20240731
66437,1,1,1,1,1,1,0,20240609,20240731
66438,1,1,1,1,1,1,0,20240609,20240731
66439,1,1,1,1,1,0,0,20240609,20240731
66440,1,1,1,1,0,0,1,20240609,20240731
66441,0,1,1,0,1,0,0,20240609,20240731
66442,0,1,1,0,1,0,0,20240609,20240731
108301,1,1,1,1,1,0,0,20240531,20240731
108302,1,1,1,1,0,0,0,20240531,20240731
108303,0,1,1,1,1,0,0,20240531,20240731
108304,0,1,1,1,1,0,0,20240531,20240731
108305,0,0,0,0,1,0,0,20240531,20240731
108306,0,0,0,0,0,1,0,20240531,20240731
108307,0,0,0,0,0,1,0,20240531,20240731
108308,0,0,0,0,0,0,1,20240531,20240731
108309,0,0,0,0,0,0,1,20240531,20240731
108310,0,0,1,1,1,1,0,20240531,20240731
108311,0,1,1,1,1,1,0,20240531,20240731
108312,0,1,1,1,1,1,0,20240531,20240731
108313,1,0,0,0,0,0,0,20240531,20240731
108314,1,0,0,0,0,0,0,20240531,20240731
108315,1,0,0,0,0,0,0,20240531,20240731
108316,0,1,0,0,0,0,0,20240531,20240731
108317,0,1,0,0,0,0,0,20240531,20240731
108318,1,0,1,1,1,0,0,20240531,20240731
108319,1,0,1,1,1,0,0,20240531,20240731
108320,0,0,1,0,0,0,0,20240531,20240731
108321,0,0,1,0,0,0,0,20240531,20240731
108322,1,1,0,1,1,0,0,20240531,20240731
108323,1,1,0,1,1,0,0,20240531,20240731
108324,0,0,0,1,0,0,0,20240531,20240731
108325,0,0,0,1,0,0,0,20240531,20240731
108326,1,1,1,0,1,0,0,20240531,20240731
108327,1,1,1,0,1,0,0,20240531,20240731
108328,0,1,1,0,0,0,0,20240531,20240731
108329,0,1,1,0,0,0,0,20240531,20240731
108330,1,0,0,1,1,0,0,20240531,20240731
108331,1,0,0,1,1,0,0,20240531,20240731
108332,1,1,0,0,1,0,0,20240531,20240731
108333,1,1,0,0,1,0,0,20240531,20240731
108334,1,1,1,1,1,0,1,20240531,20240731
108335,1,1,1,1,1,0,1,20240531,20240731
108336,1,1,1,1,1,1,0,20240531,20240731
108337,1,1,1,1,1,1,0,20240531,20240731
108338,1,1,1,1,1,1,0,20240531,20240731
