service_id,date,exception_type
66401,20240704,2
66402,20240704,2
66403,20240704,2
66404,20240705,2
66405,20240704,2
66406,20240704,2
66407,20240705,2
66408,20240705,2
66409,20240704,1
66410,20240705,2
66411,20240704,2
66412,20240705,2
66413,20240704,2
66414,20240705,2
66415,20240705,1
66416,20240704,2
66417,20240705,2
66418,20240704,2
66419,20240705,2
66420,20240704,2
66421,20240705,2
66422,20240704,2
66423,20240705,2
66424,20240704,2
66425,20240705,2
66426,20240704,2
66427,20240705,2
66428,20240704,2
66429,20240705,2
66430,20240704,2
66431,20240705,2
66432,20240704,2
66433,20240705,2
66434,20240704,2
66435,20240705,2
66436,20240704,2
66437,20240705,2
66438,20240705,1
66439,20240705,1
66440,20240704,1
66441,20240704,2
66442,20240705,2
108301,20240704,2
108302,20240704,2
108303,20240704,2
108304,20240705,2
108305,20240704,2
108306,20240704,2
108307,20240705,2
108308,20240705,2
108309,20240704,1
108310,20240705,2
108311,20240704,2
108312,20240705,2
108313,20240704,2
108314,20240705,2
108315,20240705,1
108316,20240704,2
108317,20240705,2
108318,20240704,2
108319,20240705,2
108320,20240704,2
108321,20240705,2
108322,20240704,2
108323,20240705,2
108324,20240704,2
108325,20240705,2
108326,20240704,2
108327,20240705,2
108328,20240704,2
108329,20240705,2
108330,20240704,2
108331,20240705,2
108332,20240704,2
108333,20240705,2
108334,20240704,2
108335,20240705,2
108336,20240704,2
108337,20240705,2
108338,20240705,1
108339,20240705,1
108340,20240704,1
108341,20240704,2
108342,20240705,2
208301,20240704,2
664101,20240704,2
664102,20240704,2
664103,20240704,2
664104,20240705,2
664105,20240704,2
664106,20240704,2
664107,20240705,2
664108,20240705,2
664109,20240704,1
664110,20240705,2
664111,20240704,2
664112,20240705,2
664113,20240704,2
664114,20240705,2
664115,20240705,1
664116,20240704,2
664117,20240705,2
664118,20240704,2
664119,20240705,2
664120,20240704,2
664121,20240705,2
664122,20240704,2
664123,20240705,2
664124,20240704,2
664125,20240705,2
664126,20240704,2
664127,20240705,2
664128,20240704,2
664129,20240705,2
1083101,20240704,2
1083102,20240704,2
1083103,20240704,2
1083104,20240704,2
1083105,20240704,2
1083106,20240704,2
1083107,20240704,2
1083108,20240704,2
1083109,20240704,2
1083110,20240704,2
1083111,20240704,2
1083112,20240704,2
1083113,20240704,2
1083114,20240704,2
1083115,20240704,2
1083116,20240704,2
1083117,20240704,2
1083118,20240704,2
1083119,20240704,2
1083120,20240704,2
1083121,20240704,2
1083122,20240704,2
1083123,20240704,2
1083124,20240704,2
1083125,20240704,2
1083126,20240704,2
1083127,20240704,2
1083128,20240704,2
1083129,20240704,2
