service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GH_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
GH_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
GH_C4-Weekday-SDon-BM,1,1,1,1,0,0,1,20240630,20240829
GH_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
KB_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
KB_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
KB_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
WF_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
WF_C4-Sunday-BM,0,0,0,0,0,1,0,20240629,20240824
WF_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
WF_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
