route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX12,GH_C4-Weekday,GH_C4-Weekday-004000_BX12_151,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,35903294,BX120228
BX12,GH_C4-Weekday,GH_C4-Weekday-009000_BX12_151,EDSON AV via FORDHAM RD via PELHAM PKY,0,35903294,BX120188
BX12,GH_C4-Weekday,GH_C4-Weekday-013000_BX12_151,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,35903294,BX120199
BX12,GH_C4-Weekday,GH_C4-Weekday-017000_BX12_151,EDSON AV via FORDHAM RD via PELHAM PKY,0,35903294,BX120188
BX12,GH_C4-Weekday,GH_C4-Weekday-021000_BX12_151,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,35903294,BX120199
BX12,GH_C4-Weekday,GH_C4-Weekday-025000_BX12_151,EDSON AV via FORDHAM RD via PELHAM PKY,0,35903294,BX120188
BX12,GH_C4-Weekday,GH_C4-Weekday-033400_BX12_151,SEDWICK AV via PELHAM PKY via FORDHAM RD,1,35903294,BX120193
BX12,GH_C4-Weekday,GH_C4-Weekday-037600_BX12_151,ORCHARD BEACH,0,35903294,BX120155
BX12,GH_C4-Weekday,GH_C4-Weekday-042700_BX12_151,SEDWICK AV via PELHAM PKY via FORDHAM RD,1,35903294,BX120203
BX12,GH_C4-Weekday,GH_C4-Weekday-047800_BX12_151,ORCHARD BEACH,0,35903294,BX120155
BX12,GH_C4-Weekday,GH_C4-Weekday-052600_BX12_151,PELHAM BAY,1,35903294,BX121477
BX12,GH_C4-Weekday,GH_C4-Weekday-008000_BX12_152,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,35903295,BX120228
BX12,GH_C4-Weekday,GH_C4-Weekday-013000_BX12_152,EDSON AV via FORDHAM RD via PELHAM PKY,0,35903295,BX120188
BX12,GH_C4-Weekday,GH_C4-Weekday-017000_BX12_152,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,35903295,BX120199
BX12,GH_C4-Weekday,GH_C4-Weekday-021000_BX12_152,EDSON AV via FORDHAM RD via PELHAM PKY,0,35903295,BX120188
