service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
EN_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
EN_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
EN_C4-Weekday,1,1,1,1,1,0,0,20240701,20240830
EN_C4-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240809
FB_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
FB_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
FB_C4-Weekday,1,1,1,1,1,0,0,20240701,20240830
FB_C4-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240809
FP_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
FP_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
FP_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
FP_C4-Sunday-BM,0,0,0,0,0,1,0,20240629,20240824
FP_C4-Weekday,1,1,1,1,1,0,0,20240701,20240830
FP_C4-Weekday-BM,1,1,1,1,0,0,1,20240630,20240829
FP_C4-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240809
FP_C4-Weekday-SDon-BM,1,1,1,1,0,0,1,20240704,20240808
GA_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
GA_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
GA_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
GA_C4-Weekday,1,1,1,1,1,0,0,20240701,20240830
GA_C4-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240809
JG_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
JG_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
JG_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
JG_C4-Sunday-BM,0,0,0,0,0,1,0,20240629,20240824
JG_C4-Weekday,1,1,1,1,1,0,0,20240701,20240830
JG_C4-Weekday-BM,1,1,1,1,0,0,1,20240630,20240829
JG_C4-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240809
JG_C4-Weekday-SDon-BM,1,1,1,1,0,0,1,20240704,20240808
UP_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
UP_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
UP_C4-Weekday,1,1,1,1,1,0,0,20240701,20240830
UP_C4-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240809
B94-Saturday,0,0,0,0,0,1,0,20240704,20240704
B94-Saturday-BM,0,0,0,0,1,0,0,20240703,20240703
B94-Sunday,0,0,0,0,0,0,1,20240630,20240630
B94-Sunday-BM,0,0,0,0,0,1,0,20240629,20240629
B94-Weekday-SDon,1,1,1,1,1,0,0,20240705,20240705
B94-Weekday-SDon-BM,1,1,1,1,0,0,1,20240704,20240704
B94-Weekday,1,1,1,1,1,0,0,20240701,20240703
B94-Weekday-BM,1,1,1,1,0,0,1,20240630,20240702
B98-Saturday,0,0,0,0,0,1,0,20240706,20240810
B98-Sunday,0,0,0,0,0,0,1,20240707,20240811
B98-Weekday-SDon,1,1,1,1,1,0,0,20240708,20240809
B93-Saturday,0,0,0,0,0,1,0,20240817,20240831
B93-Sunday,0,0,0,0,0,0,1,20240818,20240825
B93-Weekday,1,1,1,1,1,0,0,20240812,20240830
