route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B42,EN_C4-Saturday,EN_C4-Saturday-000000_B42_501,CANARSIE PIER,1,36166930,B420005
B82,EN_C4-Saturday,EN_C4-Saturday-000000_B82_601,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166912,B820069
B42,EN_C4-Saturday,EN_C4-Saturday-001000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B25,EN_C4-Saturday,EN_C4-Saturday-002000_B25_201,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167063,B250031
B42,EN_C4-Saturday,EN_C4-Saturday-002000_B42_501,CANARSIE PIER,1,36166930,B420005
B42,EN_C4-Saturday,EN_C4-Saturday-003000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B42,EN_C4-Saturday,EN_C4-Saturday-004000_B42_501,CANARSIE PIER,1,36166930,B420005
B42,EN_C4-Saturday,EN_C4-Saturday-005000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B25,EN_C4-Saturday,EN_C4-Saturday-005800_B25_201,BROADWAY JCT ALABAMA AV via FULTON,0,36167063,B250029
B17,EN_C4-Saturday,EN_C4-Saturday-006000_B17_751,CANARSIE SEAVIEW AV,1,36166827,B170092
B42,EN_C4-Saturday,EN_C4-Saturday-006000_B42_501,CANARSIE PIER,1,36166930,B420005
B42,EN_C4-Saturday,EN_C4-Saturday-007000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B82,EN_C4-Saturday,EN_C4-Saturday-007000_B82_601,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166912,B820075
B82,EN_C4-Saturday,EN_C4-Saturday-007000_B82_602,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166913,B820069
Q24,EN_C4-Saturday,EN_C4-Saturday-007000_Q24_401,JAMAICA 168 ST via ATLANTIC,0,36167082,Q240242
B12,EN_C4-Saturday,EN_C4-Saturday-007500_B12_1,LEFFERTS GARDENS OCEAN AV,1,36167108,B120015
B14,EN_C4-Saturday,EN_C4-Saturday-008000_B14_701,CROWN HEIGHTS UTICA AV,1,36166846,B140023
B42,EN_C4-Saturday,EN_C4-Saturday-008000_B42_501,CANARSIE PIER,1,36166930,B420005
B17,EN_C4-Saturday,EN_C4-Saturday-009000_B17_751,CROWN HEIGHTS EASTERN PKY,0,36166827,B170993
B42,EN_C4-Saturday,EN_C4-Saturday-009000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B42,EN_C4-Saturday,EN_C4-Saturday-010000_B42_501,CANARSIE PIER,1,36166930,B420005
Q56,EN_C4-Saturday,EN_C4-Saturday-010000_Q56_451,JAMAICA 170 ST via JAMAICA AV,0,36167106,Q560002
B15,EN_C4-Saturday,EN_C4-Saturday-010500_B15_101,JFK AIRPORT,0,36167158,B150033
B25,EN_C4-Saturday,EN_C4-Saturday-010900_B25_201,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167063,B250031
B12,EN_C4-Saturday,EN_C4-Saturday-011000_B12_1,EAST NEW YORK ALABAMA AV,0,36167108,B120019
B42,EN_C4-Saturday,EN_C4-Saturday-011000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B12,EN_C4-Saturday,EN_C4-Saturday-011500_B12_2,LEFFERTS GARDENS OCEAN AV,1,36167107,B120015
B14,EN_C4-Saturday,EN_C4-Saturday-011700_B14_701,SPRING CREEK STANLEY AV POSTAL FAC,0,36166846,B140022
B17,EN_C4-Saturday,EN_C4-Saturday-012000_B17_751,CANARSIE SEAVIEW AV,1,36166827,B170092
B42,EN_C4-Saturday,EN_C4-Saturday-012000_B42_501,CANARSIE PIER,1,36166930,B420005
Q56,EN_C4-Saturday,EN_C4-Saturday-012000_Q24_401,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167082,Q560014
B15,EN_C4-Saturday,EN_C4-Saturday-013000_B15_102,JFK AIRPORT,0,36167139,B150033
B42,EN_C4-Saturday,EN_C4-Saturday-013000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
Q24,EN_C4-Saturday,EN_C4-Saturday-013000_Q24_402,JAMAICA 168 ST via ATLANTIC,0,36167083,Q240242
B42,EN_C4-Saturday,EN_C4-Saturday-014000_B42_501,CANARSIE PIER,1,36166930,B420005
B82,EN_C4-Saturday,EN_C4-Saturday-014000_B82_601,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166912,B820069
B82,EN_C4-Saturday,EN_C4-Saturday-014000_B82_602,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166913,B820075
Q24,EN_C4-Saturday,EN_C4-Saturday-014000_Q56_451,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,36167106,Q240239
B25,EN_C4-Saturday,EN_C4-Saturday-014400_B25_201,BROADWAY JCT ALABAMA AV via FULTON,0,36167063,B250029
B12,EN_C4-Saturday,EN_C4-Saturday-015000_B12_2,EAST NEW YORK ALABAMA AV,0,36167107,B120019
B14,EN_C4-Saturday,EN_C4-Saturday-015000_B14_701,CROWN HEIGHTS UTICA AV,1,36166846,B140023
B15,EN_C4-Saturday,EN_C4-Saturday-015000_B15_103,JFK AIRPORT,0,36167149,B150033
B17,EN_C4-Saturday,EN_C4-Saturday-015000_B17_751,CROWN HEIGHTS EASTERN PKY,0,36166827,B170993
B42,EN_C4-Saturday,EN_C4-Saturday-015000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B12,EN_C4-Saturday,EN_C4-Saturday-015500_B12_1,LEFFERTS GARDENS OCEAN AV,1,36167108,B120015
B42,EN_C4-Saturday,EN_C4-Saturday-016000_B42_501,CANARSIE PIER,1,36166930,B420005
Q56,EN_C4-Saturday,EN_C4-Saturday-016000_Q24_401,JAMAICA 170 ST via JAMAICA AV,0,36167082,Q560002
B15,EN_C4-Saturday,EN_C4-Saturday-017000_B15_104,JFK AIRPORT,0,36167141,B150033
B42,EN_C4-Saturday,EN_C4-Saturday-017000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B15,EN_C4-Saturday,EN_C4-Saturday-018000_B15_101,BED-STUY WOODHULL HOSPITAL,1,36167158,B150031
B17,EN_C4-Saturday,EN_C4-Saturday-018000_B17_751,CANARSIE SEAVIEW AV,1,36166827,B170092
B42,EN_C4-Saturday,EN_C4-Saturday-018000_B42_501,CANARSIE PIER,1,36166930,B420005
Q56,EN_C4-Saturday,EN_C4-Saturday-018000_Q24_402,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167083,Q560014
B25,EN_C4-Saturday,EN_C4-Saturday-018300_B25_201,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167063,B250031
B14,EN_C4-Saturday,EN_C4-Saturday-018700_B14_701,SPRING CREEK STANLEY AV POSTAL FAC,0,36166846,B140022
B12,EN_C4-Saturday,EN_C4-Saturday-019000_B12_1,EAST NEW YORK ALABAMA AV,0,36167108,B120019
B15,EN_C4-Saturday,EN_C4-Saturday-019000_B15_105,JFK AIRPORT,0,36167147,B150033
