service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
MQ_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
MQ_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
MV_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
MV_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
MV_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
MV_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
OF_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
OF_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
OF_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
OH_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
OH_C4-Sunday-BM,0,0,0,0,0,1,0,20240629,20240824
OH_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
OH_C4-Weekday-SDon-BM,1,1,1,1,0,0,1,20240630,20240829
OH_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
OH_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
