service_id,date,exception_type
MQ_C4-Weekday-SDon,20240704,2
MQ_C4-Weekday-SDon,20240701,2
MQ_C4-Weekday-SDon,20240702,2
MQ_C4-Weekday-SDon,20240703,2
MQ_C4-Weekday-SDon,20240812,2
MQ_C4-Weekday-SDon,20240813,2
MQ_C4-Weekday-SDon,20240814,2
MQ_C4-Weekday-SDon,20240815,2
MQ_C4-Weekday-SDon,20240816,2
MQ_C4-Weekday-SDon,20240819,2
MQ_C4-Weekday-SDon,20240820,2
MQ_C4-Weekday-SDon,20240821,2
MQ_C4-Weekday-SDon,20240822,2
MQ_C4-Weekday-SDon,20240823,2
MQ_C4-Weekday-SDon,20240826,2
MQ_C4-Weekday-SDon,20240827,2
MQ_C4-Weekday-SDon,20240828,2
MQ_C4-Weekday-SDon,20240829,2
MQ_C4-Weekday-SDon,20240830,2
MQ_C4-Weekday,20240701,1
MQ_C4-Weekday,20240702,1
MQ_C4-Weekday,20240703,1
MQ_C4-Weekday,20240812,1
MQ_C4-Weekday,20240813,1
MQ_C4-Weekday,20240814,1
MQ_C4-Weekday,20240815,1
MQ_C4-Weekday,20240816,1
MQ_C4-Weekday,20240819,1
MQ_C4-Weekday,20240820,1
MQ_C4-Weekday,20240821,1
MQ_C4-Weekday,20240822,1
MQ_C4-Weekday,20240823,1
MQ_C4-Weekday,20240826,1
MQ_C4-Weekday,20240827,1
MQ_C4-Weekday,20240828,1
MQ_C4-Weekday,20240829,1
MQ_C4-Weekday,20240830,1
MQ_C4-Saturday,20240704,1
MV_C4-Weekday-SDon,20240704,2
MV_C4-Weekday-SDon,20240701,2
MV_C4-Weekday-SDon,20240702,2
MV_C4-Weekday-SDon,20240703,2
MV_C4-Weekday-SDon,20240812,2
MV_C4-Weekday-SDon,20240813,2
MV_C4-Weekday-SDon,20240814,2
MV_C4-Weekday-SDon,20240815,2
MV_C4-Weekday-SDon,20240816,2
MV_C4-Weekday-SDon,20240819,2
MV_C4-Weekday-SDon,20240820,2
MV_C4-Weekday-SDon,20240821,2
MV_C4-Weekday-SDon,20240822,2
MV_C4-Weekday-SDon,20240823,2
MV_C4-Weekday-SDon,20240826,2
MV_C4-Weekday-SDon,20240827,2
MV_C4-Weekday-SDon,20240828,2
MV_C4-Weekday-SDon,20240829,2
MV_C4-Weekday-SDon,20240830,2
MV_C4-Weekday,20240701,1
MV_C4-Weekday,20240702,1
MV_C4-Weekday,20240703,1
MV_C4-Weekday,20240812,1
MV_C4-Weekday,20240813,1
MV_C4-Weekday,20240814,1
MV_C4-Weekday,20240815,1
MV_C4-Weekday,20240816,1
MV_C4-Weekday,20240819,1
MV_C4-Weekday,20240820,1
MV_C4-Weekday,20240821,1
MV_C4-Weekday,20240822,1
