service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CS_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
CS_C4-Sunday-BM,0,0,0,0,0,1,0,20240629,20240824
CS_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
CS_C4-Weekday-SDon-BM,1,1,1,1,0,0,1,20240630,20240829
CS_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
CS_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
JA_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
JA_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
JA_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
QV_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
QV_C4-Sunday-BM,0,0,0,0,0,1,0,20240629,20240824
QV_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
QV_C4-Weekday-SDon-BM,1,1,1,1,0,0,1,20240630,20240829
QV_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
QV_C4-Saturday-BM,0,0,0,0,1,0,0,20240703,20240830
