service_id,date,exception_type
CS_C4-Weekday-SDon,20240704,2
CS_C4-Weekday-SDon-BM,20240703,2
CS_C4-Weekday-SDon,20240701,2
CS_C4-Weekday-SDon-BM,20240630,2
CS_C4-Weekday-SDon,20240702,2
CS_C4-Weekday-SDon-BM,20240701,2
CS_C4-Weekday-SDon,20240703,2
CS_C4-Weekday-SDon-BM,20240702,2
CS_C4-Weekday-SDon,20240812,2
CS_C4-Weekday-SDon-BM,20240811,2
CS_C4-Weekday-SDon,20240813,2
CS_C4-Weekday-SDon-BM,20240812,2
CS_C4-Weekday-SDon,20240814,2
CS_C4-Weekday-SDon-BM,20240813,2
CS_C4-Weekday-SDon,20240815,2
CS_C4-Weekday-SDon-BM,20240814,2
CS_C4-Weekday-SDon,20240816,2
CS_C4-Weekday-SDon-BM,20240815,2
CS_C4-Weekday-SDon,20240819,2
CS_C4-Weekday-SDon-BM,20240818,2
CS_C4-Weekday-SDon,20240820,2
CS_C4-Weekday-SDon-BM,20240819,2
CS_C4-Weekday-SDon,20240821,2
CS_C4-Weekday-SDon-BM,20240820,2
CS_C4-Weekday-SDon,20240822,2
CS_C4-Weekday-SDon-BM,20240821,2
CS_C4-Weekday-SDon,20240823,2
CS_C4-Weekday-SDon-BM,20240822,2
CS_C4-Weekday-SDon,20240826,2
CS_C4-Weekday-SDon-BM,20240825,2
CS_C4-Weekday-SDon,20240827,2
CS_C4-Weekday-SDon-BM,20240826,2
CS_C4-Weekday-SDon,20240828,2
CS_C4-Weekday-SDon-BM,20240827,2
CS_C4-Weekday-SDon,20240829,2
CS_C4-Weekday-SDon-BM,20240828,2
CS_C4-Weekday-SDon,20240830,2
CS_C4-Weekday-SDon-BM,20240829,2
CS_C4-Weekday,20240701,1
CS_C4-Weekday-BM,20240630,1
CS_C4-Weekday,20240702,1
CS_C4-Weekday-BM,20240701,1
CS_C4-Weekday,20240703,1
CS_C4-Weekday-BM,20240702,1
CS_C4-Weekday,20240812,1
CS_C4-Weekday-BM,20240811,1
CS_C4-Weekday,20240813,1
CS_C4-Weekday-BM,20240812,1
CS_C4-Weekday,20240814,1
CS_C4-Weekday-BM,20240813,1
CS_C4-Weekday,20240815,1
CS_C4-Weekday-BM,20240814,1
CS_C4-Weekday,20240816,1
CS_C4-Weekday-BM,20240815,1
CS_C4-Weekday,20240819,1
CS_C4-Weekday-BM,20240818,1
