service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CA_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
CA_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
CA_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
CH_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
CH_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
CH_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
MA_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
MA_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
MA_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
YU_C4-Sunday,0,0,0,0,0,0,1,20240630,20240825
YU_C4-Weekday-SDon,1,1,1,1,1,0,0,20240701,20240830
YU_C4-Saturday,0,0,0,0,0,1,0,20240704,20240831
