service_id,date,exception_type
CA_C4-Weekday-SDon,20240704,2
CA_C4-Weekday-SDon,20240701,2
CA_C4-Weekday-SDon,20240702,2
CA_C4-Weekday-SDon,20240703,2
CA_C4-Weekday-SDon,20240812,2
CA_C4-Weekday-SDon,20240813,2
CA_C4-Weekday-SDon,20240814,2
CA_C4-Weekday-SDon,20240815,2
CA_C4-Weekday-SDon,20240816,2
CA_C4-Weekday-SDon,20240819,2
CA_C4-Weekday-SDon,20240820,2
CA_C4-Weekday-SDon,20240821,2
CA_C4-Weekday-SDon,20240822,2
CA_C4-Weekday-SDon,20240823,2
CA_C4-Weekday-SDon,20240826,2
CA_C4-Weekday-SDon,20240827,2
CA_C4-Weekday-SDon,20240828,2
CA_C4-Weekday-SDon,20240829,2
CA_C4-Weekday-SDon,20240830,2
CA_C4-Weekday,20240701,1
CA_C4-Weekday,20240702,1
CA_C4-Weekday,20240703,1
CA_C4-Weekday,20240812,1
CA_C4-Weekday,20240813,1
CA_C4-Weekday,20240814,1
CA_C4-Weekday,20240815,1
CA_C4-Weekday,20240816,1
CA_C4-Weekday,20240819,1
CA_C4-Weekday,20240820,1
CA_C4-Weekday,20240821,1
CA_C4-Weekday,20240822,1
CA_C4-Weekday,20240823,1
CA_C4-Weekday,20240826,1
CA_C4-Weekday,20240827,1
CA_C4-Weekday,20240828,1
CA_C4-Weekday,20240829,1
CA_C4-Weekday,20240830,1
CA_C4-Saturday,20240704,1
CH_C4-Weekday-SDon,20240704,2
CH_C4-Weekday-SDon,20240701,2
CH_C4-Weekday-SDon,20240702,2
CH_C4-Weekday-SDon,20240703,2
CH_C4-Weekday-SDon,20240812,2
CH_C4-Weekday-SDon,20240813,2
CH_C4-Weekday-SDon,20240814,2
CH_C4-Weekday-SDon,20240815,2
CH_C4-Weekday-SDon,20240816,2
CH_C4-Weekday-SDon,20240819,2
CH_C4-Weekday-SDon,20240820,2
CH_C4-Weekday-SDon,20240821,2
CH_C4-Weekday-SDon,20240822,2
CH_C4-Weekday-SDon,20240823,2
CH_C4-Weekday-SDon,20240826,2
CH_C4-Weekday-SDon,20240827,2
CH_C4-Weekday-SDon,20240828,2
CH_C4-Weekday-SDon,20240829,2
CH_C4-Weekday-SDon,20240830,2
CH_C4-Weekday,20240701,1
CH_C4-Weekday,20240702,1
CH_C4-Weekday,20240703,1
CH_C4-Weekday,20240812,1
CH_C4-Weekday,20240813,1
CH_C4-Weekday,20240814,1
CH_C4-Weekday,20240815,1
CH_C4-Weekday,20240816,1
CH_C4-Weekday,20240819,1
CH_C4-Weekday,20240820,1
CH_C4-Weekday,20240821,1
CH_C4-Weekday,20240822,1
CH_C4-Weekday,20240823,1
CH_C4-Weekday,20240826,1
CH_C4-Weekday,20240827,1
CH_C4-Weekday,20240828,1
CH_C4-Weekday,20240829,1
CH_C4-Weekday,20240830,1
CH_C4-Saturday,20240704,1
MA_C4-Weekday-SDon,20240704,2
MA_C4-Weekday-SDon,20240701,2
MA_C4-Weekday-SDon,20240702,2
MA_C4-Weekday-SDon,20240703,2
MA_C4-Weekday-SDon,20240812,2
MA_C4-Weekday-SDon,20240813,2
MA_C4-Weekday-SDon,20240814,2
MA_C4-Weekday-SDon,20240815,2
MA_C4-Weekday-SDon,20240816,2
MA_C4-Weekday-SDon,20240819,2
MA_C4-Weekday-SDon,20240820,2
MA_C4-Weekday-SDon,20240821,2
MA_C4-Weekday-SDon,20240822,2
MA_C4-Weekday-SDon,20240823,2
MA_C4-Weekday-SDon,20240826,2
MA_C4-Weekday-SDon,20240827,2
MA_C4-Weekday-SDon,20240828,2
MA_C4-Weekday-SDon,20240829,2
MA_C4-Weekday-SDon,20240830,2
MA_C4-Weekday,20240701,1
MA_C4-Weekday,20240702,1
MA_C4-Weekday,20240703,1
MA_C4-Weekday,20240812,1
MA_C4-Weekday,20240813,1
MA_C4-Weekday,20240814,1
MA_C4-Weekday,20240815,1
MA_C4-Weekday,20240816,1
MA_C4-Weekday,20240819,1
MA_C4-Weekday,20240820,1
MA_C4-Weekday,20240821,1
MA_C4-Weekday,20240822,1
MA_C4-Weekday,20240823,1
MA_C4-Weekday,20240826,1
MA_C4-Weekday,20240827,1
MA_C4-Weekday,20240828,1
MA_C4-Weekday,20240829,1
MA_C4-Weekday,20240830,1
MA_C4-Saturday,20240704,1
YU_C4-Weekday-SDon,20240704,2
YU_C4-Weekday-SDon,20240701,2
YU_C4-Weekday-SDon,20240702,2
YU_C4-Weekday-SDon,20240703,2
YU_C4-Weekday-SDon,20240812,2
YU_C4-Weekday-SDon,20240813,2
YU_C4-Weekday-SDon,20240814,2
YU_C4-Weekday-SDon,20240815,2
YU_C4-Weekday-SDon,20240816,2
YU_C4-Weekday-SDon,20240819,2
YU_C4-Weekday-SDon,20240820,2
YU_C4-Weekday-SDon,20240821,2
YU_C4-Weekday-SDon,20240822,2
YU_C4-Weekday-SDon,20240823,2
YU_C4-Weekday-SDon,20240826,2
YU_C4-Weekday-SDon,20240827,2
YU_C4-Weekday-SDon,20240828,2
YU_C4-Weekday-SDon,20240829,2
YU_C4-Weekday-SDon,20240830,2
YU_C4-Weekday,20240701,1
YU_C4-Weekday,20240702,1
YU_C4-Weekday,20240703,1
YU_C4-Weekday,20240812,1
YU_C4-Weekday,20240813,1
YU_C4-Weekday,20240814,1
YU_C4-Weekday,20240815,1
YU_C4-Weekday,20240816,1
YU_C4-Weekday,20240819,1
YU_C4-Weekday,20240820,1
YU_C4-Weekday,20240821,1
YU_C4-Weekday,20240822,1
YU_C4-Weekday,20240823,1
YU_C4-Weekday,20240826,1
YU_C4-Weekday,20240827,1
YU_C4-Weekday,20240828,1
YU_C4-Weekday,20240829,1
YU_C4-Weekday,20240830,1
YU_C4-Saturday,20240704,1
