trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10068020,1,4,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
10115020,1,4,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
10166020,1,4,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
10223020,1,4,INBOUND-DOWNTOWN,,1,1 -022,shp-1-10,1,1
10591010,1,3,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
11353010,1,3,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
11237080,1,2,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
11461010,1,3,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
11392070,1,1,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
11435070,1,1,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
1153080,1,2,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
12101020,1,4,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
12548070,1,1,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
12637080,1,2,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
12368010,1,3,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
12438010,1,3,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
12837020,1,4,INBOUND-DOWNTOWN,,1,1 -033,shp-1-10,1,1
1295070,1,1,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
13040010,1,3,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
1396070,1,1,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
13439010,1,3,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
14147010,1,3,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
14338020,1,4,INBOUND-DOWNTOWN,,1,1 -023,shp-1-10,1,1
14406070,1,1,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
1952010,1,3,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
14591070,1,1,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
2320020,1,4,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
2995080,1,2,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
3162070,1,1,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
3782020,1,4,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
3845080,1,2,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
4062080,1,2,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
2010080,1,2,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
4450080,1,2,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
4858070,1,1,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
3072020,1,4,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
3309020,1,4,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
3532020,1,4,INBOUND-DOWNTOWN,,1,1 -030,shp-1-10,1,1
6447020,1,4,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
6545010,1,3,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
6862070,1,1,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
706070,1,1,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
6578010,1,3,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
7535020,1,4,INBOUND-DOWNTOWN,,1,1 -034,shp-1-10,1,1
7626080,1,2,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
7908010,1,3,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
8435070,1,1,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
8478020,1,4,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
7457020,1,4,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
8567010,1,3,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
8956080,1,2,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
8123020,1,4,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
4362020,1,4,INBOUND-DOWNTOWN,,1,1 -024,shp-1-10,1,1
4398070,1,1,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
89020,1,4,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
920080,1,2,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
9283080,1,2,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
9746010,1,3,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
5962070,1,1,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
6599020,1,4,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
6705080,1,2,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
8328020,1,4,INBOUND-DOWNTOWN,,1,1 -021,shp-1-10,1,1
8569080,1,2,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
9154020,1,4,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
9301070,1,1,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
10287070,1,1,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
10901070,1,1,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
11176080,1,2,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
11229080,1,2,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
11692070,1,1,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
11737020,1,4,INBOUND-DOWNTOWN,,1,1 -027,shp-1-10,1,1
12600020,1,4,INBOUND-DOWNTOWN,,1,1 -028,shp-1-10,1,1
12747020,1,4,INBOUND-DOWNTOWN,,1,1 -026,shp-1-10,1,1
2265020,1,4,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
2464010,1,3,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
2929080,1,2,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
3213010,1,3,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
3573020,1,4,INBOUND-DOWNTOWN,,1,1 -020,shp-1-10,1,1
3842020,1,4,INBOUND-DOWNTOWN,,1,1 -037,shp-1-10,1,1
451010,1,3,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
5110080,1,2,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
5550020,1,4,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
6437010,1,3,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
7753020,1,4,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
7771020,1,4,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
7848020,1,4,INBOUND-DOWNTOWN,,1,1 -032,shp-1-10,1,1
7855020,1,4,INBOUND-DOWNTOWN,,1,1 -025,shp-1-10,1,1
8222080,1,2,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
827020,1,4,INBOUND-DOWNTOWN,,1,1 -038,shp-1-10,1,1
8405070,1,1,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
9085010,1,3,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
9419020,1,4,OUTBOUND-TARENTUM,,0,1 -030,shp-1-63,1,1
8483080,1,2,OUTBOUND-TARENTUM,,0,1 -012,shp-1-63,1,1
9732070,1,1,OUTBOUND-TARENTUM,,0,1 -015,shp-1-63,1,1
830080,1,2,OUTBOUND-TARENTUM,,0,1 -016,shp-1-63,1,1
6632010,1,3,OUTBOUND-TARENTUM,,0,1 -004,shp-1-63,1,1
6793010,1,3,OUTBOUND-TARENTUM,,0,1 -002,shp-1-63,1,1
7285080,1,2,OUTBOUND-TARENTUM,,0,1 -004,shp-1-63,1,1
6106010,1,3,OUTBOUND-TARENTUM,,0,1 -011,shp-1-63,1,1
5803010,1,3,OUTBOUND-TARENTUM,,0,1 -014,shp-1-63,1,1
4610020,1,4,OUTBOUND-TARENTUM,,0,1 -013,shp-1-63,1,1
4309020,1,4,OUTBOUND-TARENTUM,,0,1 -032,shp-1-63,1,1
4263080,1,2,OUTBOUND-TARENTUM,,0,1 -007,shp-1-63,1,1
4004020,1,4,OUTBOUND-TARENTUM,,0,1 -034,shp-1-63,1,1
3585070,1,1,OUTBOUND-TARENTUM,,0,1 -003,shp-1-63,1,1
363010,1,3,OUTBOUND-TARENTUM,,0,1 -017,shp-1-63,1,1
3722080,1,2,OUTBOUND-TARENTUM,,0,1 -013,shp-1-63,1,1
3494080,1,2,OUTBOUND-TARENTUM,,0,1 -008,shp-1-63,1,1
2722020,1,4,OUTBOUND-TARENTUM,,0,1 -022,shp-1-63,1,1
2063010,1,3,OUTBOUND-TARENTUM,,0,1 -001,shp-1-63,1,1
14131020,1,4,OUTBOUND-TARENTUM,,0,1 -019,shp-1-63,1,1
14489010,1,3,OUTBOUND-TARENTUM,,0,1 -003,shp-1-63,1,1
1458070,1,1,OUTBOUND-TARENTUM,,0,1 -002,shp-1-63,1,1
12935010,1,3,OUTBOUND-TARENTUM,,0,1 -010,shp-1-63,1,1
13129010,1,3,OUTBOUND-TARENTUM,,0,1 -018,shp-1-63,1,1
13609010,1,3,OUTBOUND-TARENTUM,,0,1 -016,shp-1-63,1,1
12546020,1,4,OUTBOUND-TARENTUM,,0,1 -008,shp-1-63,1,1
12498070,1,1,OUTBOUND-TARENTUM,,0,1 -001,shp-1-63,1,1
11654080,1,2,OUTBOUND-TARENTUM,,0,1 -010,shp-1-63,1,1
11644020,1,4,OUTBOUND-TARENTUM,,0,1 -011,shp-1-63,1,1
11191020,1,4,OUTBOUND-TARENTUM,,0,1 -020,shp-1-63,1,1
11453070,1,1,OUTBOUND-TARENTUM,,0,1 -014,shp-1-63,1,1
11506020,1,4,OUTBOUND-TARENTUM,,0,1 -012,shp-1-63,1,1
10266020,1,4,OUTBOUND-TARENTUM,,0,1 -027,shp-1-63,1,1
8430020,1,4,OUTBOUND-TARENTUM,,0,1 -023,shp-1-63,1,1
7786020,1,4,OUTBOUND-TARENTUM,,0,1 -034,shp-1-63,1,1
7368070,1,1,OUTBOUND-TARENTUM,,0,1 -005,shp-1-63,1,1
6879080,1,2,OUTBOUND-TARENTUM,,0,1 -009,shp-1-63,1,1
4765020,1,4,OUTBOUND-TARENTUM,,0,1 -038,shp-1-63,1,1
8368070,1,1,OUTBOUND-TARENTUM,,0,1 -006,shp-1-63,1,1
5031070,1,1,OUTBOUND-TARENTUM,,0,1 -004,shp-1-63,1,1
8693010,1,3,OUTBOUND-TARENTUM,,0,1 -005,shp-1-63,1,1
8442070,1,1,OUTBOUND-TARENTUM,,0,1 -007,shp-1-63,1,1
6967020,1,4,OUTBOUND-TARENTUM,,0,1 -036,shp-1-63,1,1
6749080,1,2,OUTBOUND-TARENTUM,,0,1 -011,shp-1-63,1,1
6351020,1,4,OUTBOUND-TARENTUM,,0,1 -015,shp-1-63,1,1
5486010,1,3,OUTBOUND-TARENTUM,,0,1 -007,shp-1-63,1,1
364020,1,4,OUTBOUND-TARENTUM,,0,1 -029,shp-1-63,1,1
5751080,1,2,OUTBOUND-TARENTUM,,0,1 -002,shp-1-63,1,1
347070,1,1,OUTBOUND-TARENTUM,,0,1 -008,shp-1-63,1,1
2863020,1,4,OUTBOUND-TARENTUM,,0,1 -010,shp-1-63,1,1
4783080,1,2,OUTBOUND-TARENTUM,,0,1 -018,shp-1-63,1,1
4608020,1,4,OUTBOUND-TARENTUM,,0,1 -024,shp-1-63,1,1
4374020,1,4,OUTBOUND-TARENTUM,,0,1 -032,shp-1-63,1,1
3943080,1,2,OUTBOUND-TARENTUM,,0,1 -015,shp-1-63,1,1
3658020,1,4,OUTBOUND-TARENTUM,,0,1 -006,shp-1-63,1,1
3362020,1,4,OUTBOUND-TARENTUM,,0,1 -031,shp-1-63,1,1
3161070,1,1,OUTBOUND-TARENTUM,,0,1 -016,shp-1-63,1,1
3078070,1,1,OUTBOUND-TARENTUM,,0,1 -012,shp-1-63,1,1
287010,1,3,OUTBOUND-TARENTUM,,0,1 -013,shp-1-63,1,1
283010,1,3,OUTBOUND-TARENTUM,,0,1 -009,shp-1-63,1,1
321070,1,1,OUTBOUND-TARENTUM,,0,1 -017,shp-1-63,1,1
2793020,1,4,OUTBOUND-TARENTUM,,0,1 -037,shp-1-63,1,1
2223070,1,1,OUTBOUND-TARENTUM,,0,1 -013,shp-1-63,1,1
2474080,1,2,OUTBOUND-TARENTUM,,0,1 -019,shp-1-63,1,1
1489020,1,4,OUTBOUND-TARENTUM,,0,1 -017,shp-1-63,1,1
1567010,1,3,OUTBOUND-TARENTUM,,0,1 -008,shp-1-63,1,1
1920070,1,1,OUTBOUND-TARENTUM,,0,1 -011,shp-1-63,1,1
1662020,1,4,OUTBOUND-TARENTUM,,0,1 -018,shp-1-63,1,1
14293010,1,3,OUTBOUND-TARENTUM,,0,1 -006,shp-1-63,1,1
14187020,1,4,OUTBOUND-TARENTUM,,0,1 -035,shp-1-63,1,1
13648070,1,1,OUTBOUND-TARENTUM,,0,1 -010,shp-1-63,1,1
13500020,1,4,OUTBOUND-TARENTUM,,0,1 -037,shp-1-63,1,1
13582020,1,4,OUTBOUND-TARENTUM,,0,1 -021,shp-1-63,1,1
14290010,1,3,OUTBOUND-TARENTUM,,0,1 -012,shp-1-63,1,1
13691080,1,2,OUTBOUND-TARENTUM,,0,1 -003,shp-1-63,1,1
13110020,1,4,OUTBOUND-TARENTUM,,0,1 -014,shp-1-63,1,1
13179020,1,4,OUTBOUND-TARENTUM,,0,1 -038,shp-1-63,1,1
13369010,1,3,OUTBOUND-TARENTUM,,0,1 -015,shp-1-63,1,1
12607070,1,1,OUTBOUND-TARENTUM,,0,1 -018,shp-1-63,1,1
11273020,1,4,OUTBOUND-TARENTUM,,0,1 -025,shp-1-63,1,1
11518020,1,4,OUTBOUND-TARENTUM,,0,1 -028,shp-1-63,1,1
1167020,1,4,OUTBOUND-TARENTUM,,0,1 -033,shp-1-63,1,1
11694080,1,2,OUTBOUND-TARENTUM,,0,1 -006,shp-1-63,1,1
11160010,1,3,OUTBOUND-TARENTUM,,0,1 -019,shp-1-63,1,1
11291080,1,2,OUTBOUND-TARENTUM,,0,1 -014,shp-1-63,1,1
10825080,1,2,OUTBOUND-TARENTUM,,0,1 -001,shp-1-63,1,1
1106070,1,1,OUTBOUND-TARENTUM,,0,1 -019,shp-1-63,1,1
10505020,1,4,OUTBOUND-TARENTUM,,0,1 -016,shp-1-63,1,1
10485070,1,1,OUTBOUND-TARENTUM,,0,1 -009,shp-1-63,1,1
10399080,1,2,OUTBOUND-TARENTUM,,0,1 -017,shp-1-63,1,1
