stop_id,stop_name,stop_lat,stop_lon,stop_code,wheelchair_boarding
10,MERRILL CREEK PKWY & 13TH AVE W - EB,47.943493,-122.250542,3420,2
100,WALNUT ST & 19TH ST - SB,47.991959,-122.189354,2150,2
101,WALNUT ST & LEONARD DR - SB,47.990280,-122.189392,2155,2
102,WALNUT ST & 23RD ST - SB,47.987243,-122.189515,2165,2
108,MAPLE ST & EVERETT AVE - SB,47.981247,-122.191078,2282,2
1080,COLBY AVE & 26TH ST - NB,47.983418,-122.208481,1270,2
109,MAPLE ST & PACIFIC AVE - SB,47.978512,-122.191154,2315,2
11,MERRILL CREEK PKWY & GLENWOOD AVE - EB,47.943913,-122.244034,3410,2
110,PACIFIC AVE & CEDAR ST - WB,47.976833,-122.193153,2331,2
111,COLLEGE STATION - BAY B - SB,48.005501,-122.200294,1052,2
1131,SEAWAY BLVD & 75TH ST SW - SB,47.931211,-122.260867,3490,2
116,13TH ST & W MARINE VIEW DR - WB,48.000328,-122.214844,1120,2
117,W MARINE VIEW DR & 14TH ST - SB,47.999268,-122.214005,1123,2
118,W MARINE VIEW DR & 16TH ST - SB,47.996693,-122.213898,1125,2
119,W MARINE VIEW DR & 19TH ST - SB,47.991840,-122.213989,1230,2
12,GLENNWOOD AVE & SIEVERS DUECY RD - SB,47.938858,-122.236869,7100,2
120,W MARINE VIEW DR & 26TH ST - SB,47.983421,-122.214363,1265,2
121,W MARINE VIEW DR & CALIFORNIA ST - SB,47.980518,-122.214447,1263,2
122,PACIFIC AVE & NASSAU ST - EB,47.976410,-122.216103,1395,2
123,WALL ST & GRAND AVE - EB,47.977741,-122.213089,1378,2
124,WALL ST & COLBY AVE - EB,47.977848,-122.209190,1388,2
1240,N BROADWAY & TOWER ST - NB,48.006004,-122.196831,836,2
125,PACIFIC AVE & ROCKEFELLER AVE - EB,47.976547,-122.204865,2359,2
126,PACIFIC AVE & LOMBARD AVE - WB,47.976742,-122.202682,1457,2
127,PACIFIC AVE & ROCKEFELLER AVE - WB,47.976673,-122.205536,2356,2
128,WALL ST & HOYT AVE - WB,47.977894,-122.209503,1383,2
129,WALL ST & GRAND AVE - WB,47.977814,-122.213516,1373,2
13,MADISON ST & LOWER RIDGE RD - EB,47.936451,-122.232033,7090,2
130,PACIFIC AVE & NASSAU ST - WB,47.976490,-122.216141,1390,2
131,W MARINE VIEW DR & CALIFORNIA ST - NB,47.981014,-122.214203,1268,2
132,W MARINE VIEW DR & 26TH ST - NB,47.983116,-122.214149,1260,2
133,W MARINE VIEW DR & 18TH ST - NB,47.993382,-122.213692,1225,2
139,MALL STATION - BAY 1,47.908085,-122.213638,6395,2
14,BEVERLY LN & TAMARACK DR - NB,47.938156,-122.228371,3548,2
140,SE EVERETT MALL WAY & W MALL DR - WB,47.911255,-122.217476,6105,2
