service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20240627,0,0,0,1,0,0,0,20240627,20240627
20240628,0,0,0,0,1,0,0,20240628,20240628
20240629,0,0,0,0,0,1,0,20240629,20240629
20240630,0,0,0,0,0,0,1,20240630,20240630
20240701,1,0,0,0,0,0,0,20240701,20240701
20240702,0,1,0,0,0,0,0,20240702,20240702
20240703,0,0,1,0,0,0,0,20240703,20240703
20240704,0,0,0,1,0,0,0,20240704,20240704
20240705,0,0,0,0,1,0,0,20240705,20240705
20240706,0,0,0,0,0,1,0,20240706,20240706
20240707,0,0,0,0,0,0,1,20240707,20240707
20240708,1,0,0,0,0,0,0,20240708,20240708
20240709,0,1,0,0,0,0,0,20240709,20240709
20240710,0,0,1,0,0,0,0,20240710,20240710
20240711,0,0,0,1,0,0,0,20240711,20240711
20240712,0,0,0,0,1,0,0,20240712,20240712
20240713,0,0,0,0,0,1,0,20240713,20240713
20240714,0,0,0,0,0,0,1,20240714,20240714
20240715,1,0,0,0,0,0,0,20240715,20240715
20240716,0,1,0,0,0,0,0,20240716,20240716
20240717,0,0,1,0,0,0,0,20240717,20240717
20240718,0,0,0,1,0,0,0,20240718,20240718
20240719,0,0,0,0,1,0,0,20240719,20240719
20240720,0,0,0,0,0,1,0,20240720,20240720
20240721,0,0,0,0,0,0,1,20240721,20240721
20240722,1,0,0,0,0,0,0,20240722,20240722
20240723,0,1,0,0,0,0,0,20240723,20240723
20240724,0,0,1,0,0,0,0,20240724,20240724
20240725,0,0,0,1,0,0,0,20240725,20240725
20240726,0,0,0,0,1,0,0,20240726,20240726
20240727,0,0,0,0,0,1,0,20240727,20240727
20240728,0,0,0,0,0,0,1,20240728,20240728
20240729,1,0,0,0,0,0,0,20240729,20240729
20240730,0,1,0,0,0,0,0,20240730,20240730
20240731,0,0,1,0,0,0,0,20240731,20240731
20240801,0,0,0,1,0,0,0,20240801,20240801
20240802,0,0,0,0,1,0,0,20240802,20240802
20240803,0,0,0,0,0,1,0,20240803,20240803
20240804,0,0,0,0,0,0,1,20240804,20240804
20240805,1,0,0,0,0,0,0,20240805,20240805
20240806,0,1,0,0,0,0,0,20240806,20240806
20240807,0,0,1,0,0,0,0,20240807,20240807
20240808,0,0,0,1,0,0,0,20240808,20240808
20240809,0,0,0,0,1,0,0,20240809,20240809
20240810,0,0,0,0,0,1,0,20240810,20240810
20240811,0,0,0,0,0,0,1,20240811,20240811
20240812,1,0,0,0,0,0,0,20240812,20240812
20240813,0,1,0,0,0,0,0,20240813,20240813
20240814,0,0,1,0,0,0,0,20240814,20240814
20240815,0,0,0,1,0,0,0,20240815,20240815
20240816,0,0,0,0,1,0,0,20240816,20240816
20240817,0,0,0,0,0,1,0,20240817,20240817
20240818,0,0,0,0,0,0,1,20240818,20240818
