trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign,departure_buffer
101390627240,10,05:35:00,05:35:00,1,Lopez Island,0
101390627240,13,06:15:00,06:15:00,2,Lopez Island,0
101390627241,10,06:00:00,06:00:00,1,Lopez Island,0
101390627241,13,07:30:00,07:30:00,2,Lopez Island,0
101390627242,10,08:30:00,08:30:00,1,Lopez Island,0
101390627242,13,09:50:00,09:50:00,2,Lopez Island,0
101390627243,10,11:35:00,11:35:00,1,Lopez Island,0
101390627243,13,13:00:00,13:00:00,2,Lopez Island,0
101390627244,10,13:55:00,13:55:00,1,Lopez Island,0
101390627244,13,14:40:00,14:40:00,2,Lopez Island,0
101390627245,10,14:15:00,14:15:00,1,Lopez Island,0
101390627245,13,15:40:00,15:40:00,2,Lopez Island,0
101390627246,10,15:40:00,15:40:00,1,Lopez Island,0
101390627246,13,16:15:00,16:15:00,2,Lopez Island,0
101390627247,10,17:30:00,17:30:00,1,Lopez Island,0
101390627247,13,18:55:00,18:55:00,2,Lopez Island,0
101390627248,10,22:00:00,22:00:00,1,Lopez Island,0
101390627248,13,23:20:00,23:20:00,2,Lopez Island,0
101390628240,10,05:35:00,05:35:00,1,Lopez Island,0
101390628240,13,06:15:00,06:15:00,2,Lopez Island,0
101390628241,10,06:00:00,06:00:00,1,Lopez Island,0
101390628241,13,07:30:00,07:30:00,2,Lopez Island,0
101390628242,10,08:30:00,08:30:00,1,Lopez Island,0
101390628242,13,09:50:00,09:50:00,2,Lopez Island,0
101390628243,10,11:35:00,11:35:00,1,Lopez Island,0
101390628243,13,13:00:00,13:00:00,2,Lopez Island,0
101390628244,10,13:55:00,13:55:00,1,Lopez Island,0
101390628244,13,14:40:00,14:40:00,2,Lopez Island,0
101390628245,10,14:15:00,14:15:00,1,Lopez Island,0
101390628245,13,15:40:00,15:40:00,2,Lopez Island,0
101390628246,10,15:40:00,15:40:00,1,Lopez Island,0
101390628246,13,16:15:00,16:15:00,2,Lopez Island,0
101390628247,10,17:30:00,17:30:00,1,Lopez Island,0
101390628247,13,18:55:00,18:55:00,2,Lopez Island,0
101390628248,10,22:00:00,22:00:00,1,Lopez Island,0
101390628248,13,23:20:00,23:20:00,2,Lopez Island,0
101390629240,10,05:35:00,05:35:00,1,Lopez Island,0
101390629240,13,06:15:00,06:15:00,2,Lopez Island,0
101390629241,10,06:00:00,06:00:00,1,Lopez Island,0
101390629241,13,07:30:00,07:30:00,2,Lopez Island,0
101390629242,10,08:30:00,08:30:00,1,Lopez Island,0
101390629242,13,09:50:00,09:50:00,2,Lopez Island,0
101390629243,10,11:35:00,11:35:00,1,Lopez Island,0
101390629243,13,13:00:00,13:00:00,2,Lopez Island,0
101390629244,10,13:55:00,13:55:00,1,Lopez Island,0
101390629244,13,14:40:00,14:40:00,2,Lopez Island,0
101390629245,10,14:15:00,14:15:00,1,Lopez Island,0
101390629245,13,15:40:00,15:40:00,2,Lopez Island,0
101390629246,10,17:30:00,17:30:00,1,Lopez Island,0
101390629246,13,18:55:00,18:55:00,2,Lopez Island,0
101390629247,10,22:00:00,22:00:00,1,Lopez Island,0
101390629247,13,23:20:00,23:20:00,2,Lopez Island,0
101390630240,10,05:35:00,05:35:00,1,Lopez Island,0
101390630240,13,06:15:00,06:15:00,2,Lopez Island,0
101390630241,10,06:00:00,06:00:00,1,Lopez Island,0
101390630241,13,07:30:00,07:30:00,2,Lopez Island,0
101390630242,10,08:30:00,08:30:00,1,Lopez Island,0
101390630242,13,09:50:00,09:50:00,2,Lopez Island,0
101390630243,10,11:35:00,11:35:00,1,Lopez Island,0
101390630243,13,13:00:00,13:00:00,2,Lopez Island,0
101390630244,10,13:55:00,13:55:00,1,Lopez Island,0
101390630244,13,14:40:00,14:40:00,2,Lopez Island,0
101390630245,10,17:30:00,17:30:00,1,Lopez Island,0
101390630245,13,18:55:00,18:55:00,2,Lopez Island,0
101390630246,10,22:00:00,22:00:00,1,Lopez Island,0
101390630246,13,23:20:00,23:20:00,2,Lopez Island,0
101390701240,10,05:35:00,05:35:00,1,Lopez Island,0
101390701240,13,06:15:00,06:15:00,2,Lopez Island,0
101390701241,10,06:00:00,06:00:00,1,Lopez Island,0
101390701241,13,07:30:00,07:30:00,2,Lopez Island,0
101390701242,10,08:30:00,08:30:00,1,Lopez Island,0
101390701242,13,09:50:00,09:50:00,2,Lopez Island,0
101390701243,10,11:35:00,11:35:00,1,Lopez Island,0
101390701243,13,13:00:00,13:00:00,2,Lopez Island,0
101390701244,10,13:55:00,13:55:00,1,Lopez Island,0
101390701244,13,14:40:00,14:40:00,2,Lopez Island,0
101390701245,10,14:15:00,14:15:00,1,Lopez Island,0
101390701245,13,15:40:00,15:40:00,2,Lopez Island,0
101390701246,10,15:40:00,15:40:00,1,Lopez Island,0
101390701246,13,16:15:00,16:15:00,2,Lopez Island,0
101390701247,10,17:30:00,17:30:00,1,Lopez Island,0
101390701247,13,18:55:00,18:55:00,2,Lopez Island,0
101390701248,10,22:00:00,22:00:00,1,Lopez Island,0
101390701248,13,23:20:00,23:20:00,2,Lopez Island,0
101390702240,10,05:35:00,05:35:00,1,Lopez Island,0
101390702240,13,06:15:00,06:15:00,2,Lopez Island,0
101390702241,10,06:00:00,06:00:00,1,Lopez Island,0
101390702241,13,07:30:00,07:30:00,2,Lopez Island,0
101390702242,10,08:30:00,08:30:00,1,Lopez Island,0
101390702242,13,09:50:00,09:50:00,2,Lopez Island,0
101390702243,10,11:35:00,11:35:00,1,Lopez Island,0
101390702243,13,13:00:00,13:00:00,2,Lopez Island,0
101390702244,10,13:55:00,13:55:00,1,Lopez Island,0
101390702244,13,14:40:00,14:40:00,2,Lopez Island,0
101390702245,10,14:15:00,14:15:00,1,Lopez Island,0
101390702245,13,15:40:00,15:40:00,2,Lopez Island,0
101390702246,10,15:40:00,15:40:00,1,Lopez Island,0
101390702246,13,16:15:00,16:15:00,2,Lopez Island,0
101390702247,10,17:30:00,17:30:00,1,Lopez Island,0
101390702247,13,18:55:00,18:55:00,2,Lopez Island,0
101390702248,10,22:00:00,22:00:00,1,Lopez Island,0
101390702248,13,23:20:00,23:20:00,2,Lopez Island,0
101390703240,10,05:35:00,05:35:00,1,Lopez Island,0
101390703240,13,06:15:00,06:15:00,2,Lopez Island,0
101390703241,10,06:00:00,06:00:00,1,Lopez Island,0
101390703241,13,07:30:00,07:30:00,2,Lopez Island,0
101390703242,10,08:30:00,08:30:00,1,Lopez Island,0
101390703242,13,09:50:00,09:50:00,2,Lopez Island,0
101390703243,10,11:35:00,11:35:00,1,Lopez Island,0
101390703243,13,13:00:00,13:00:00,2,Lopez Island,0
101390703244,10,13:55:00,13:55:00,1,Lopez Island,0
101390703244,13,14:40:00,14:40:00,2,Lopez Island,0
101390703245,10,14:15:00,14:15:00,1,Lopez Island,0
101390703245,13,15:40:00,15:40:00,2,Lopez Island,0
101390703246,10,15:40:00,15:40:00,1,Lopez Island,0
101390703246,13,16:15:00,16:15:00,2,Lopez Island,0
101390703247,10,17:30:00,17:30:00,1,Lopez Island,0
101390703247,13,18:55:00,18:55:00,2,Lopez Island,0
101390703248,10,22:00:00,22:00:00,1,Lopez Island,0
101390703248,13,23:20:00,23:20:00,2,Lopez Island,0
101390704240,10,05:35:00,05:35:00,1,Lopez Island,0
101390704240,13,06:15:00,06:15:00,2,Lopez Island,0
101390704241,10,06:00:00,06:00:00,1,Lopez Island,0
101390704241,13,07:30:00,07:30:00,2,Lopez Island,0
101390704242,10,08:30:00,08:30:00,1,Lopez Island,0
101390704242,13,09:50:00,09:50:00,2,Lopez Island,0
101390704243,10,11:35:00,11:35:00,1,Lopez Island,0
101390704243,13,13:00:00,13:00:00,2,Lopez Island,0
101390704244,10,13:55:00,13:55:00,1,Lopez Island,0
101390704244,13,14:40:00,14:40:00,2,Lopez Island,0
101390704245,10,17:30:00,17:30:00,1,Lopez Island,0
101390704245,13,18:55:00,18:55:00,2,Lopez Island,0
101390704246,10,22:00:00,22:00:00,1,Lopez Island,0
101390704246,13,23:20:00,23:20:00,2,Lopez Island,0
101390705240,10,05:35:00,05:35:00,1,Lopez Island,0
101390705240,13,06:15:00,06:15:00,2,Lopez Island,0
101390705241,10,06:00:00,06:00:00,1,Lopez Island,0
101390705241,13,07:30:00,07:30:00,2,Lopez Island,0
101390705242,10,08:30:00,08:30:00,1,Lopez Island,0
101390705242,13,09:50:00,09:50:00,2,Lopez Island,0
101390705243,10,11:35:00,11:35:00,1,Lopez Island,0
101390705243,13,13:00:00,13:00:00,2,Lopez Island,0
101390705244,10,13:55:00,13:55:00,1,Lopez Island,0
101390705244,13,14:40:00,14:40:00,2,Lopez Island,0
101390705245,10,14:15:00,14:15:00,1,Lopez Island,0
101390705245,13,15:40:00,15:40:00,2,Lopez Island,0
101390705246,10,15:40:00,15:40:00,1,Lopez Island,0
101390705246,13,16:15:00,16:15:00,2,Lopez Island,0
101390705247,10,17:30:00,17:30:00,1,Lopez Island,0
101390705247,13,18:55:00,18:55:00,2,Lopez Island,0
101390705248,10,22:00:00,22:00:00,1,Lopez Island,0
101390705248,13,23:20:00,23:20:00,2,Lopez Island,0
101390706240,10,05:35:00,05:35:00,1,Lopez Island,0
101390706240,13,06:15:00,06:15:00,2,Lopez Island,0
101390706241,10,06:00:00,06:00:00,1,Lopez Island,0
101390706241,13,07:30:00,07:30:00,2,Lopez Island,0
101390706242,10,08:30:00,08:30:00,1,Lopez Island,0
101390706242,13,09:50:00,09:50:00,2,Lopez Island,0
101390706243,10,11:35:00,11:35:00,1,Lopez Island,0
101390706243,13,13:00:00,13:00:00,2,Lopez Island,0
101390706244,10,13:55:00,13:55:00,1,Lopez Island,0
101390706244,13,14:40:00,14:40:00,2,Lopez Island,0
101390706245,10,14:15:00,14:15:00,1,Lopez Island,0
101390706245,13,15:40:00,15:40:00,2,Lopez Island,0
101390706246,10,17:30:00,17:30:00,1,Lopez Island,0
101390706246,13,18:55:00,18:55:00,2,Lopez Island,0
101390706247,10,22:00:00,22:00:00,1,Lopez Island,0
101390706247,13,23:20:00,23:20:00,2,Lopez Island,0
101390707240,10,05:35:00,05:35:00,1,Lopez Island,0
101390707240,13,06:15:00,06:15:00,2,Lopez Island,0
101390707241,10,06:00:00,06:00:00,1,Lopez Island,0
101390707241,13,07:30:00,07:30:00,2,Lopez Island,0
101390707242,10,08:30:00,08:30:00,1,Lopez Island,0
101390707242,13,09:50:00,09:50:00,2,Lopez Island,0
101390707243,10,11:35:00,11:35:00,1,Lopez Island,0
101390707243,13,13:00:00,13:00:00,2,Lopez Island,0
101390707244,10,13:55:00,13:55:00,1,Lopez Island,0
101390707244,13,14:40:00,14:40:00,2,Lopez Island,0
101390707245,10,17:30:00,17:30:00,1,Lopez Island,0
101390707245,13,18:55:00,18:55:00,2,Lopez Island,0
101390707246,10,22:00:00,22:00:00,1,Lopez Island,0
101390707246,13,23:20:00,23:20:00,2,Lopez Island,0
101390708240,10,05:35:00,05:35:00,1,Lopez Island,0
101390708240,13,06:15:00,06:15:00,2,Lopez Island,0
101390708241,10,06:00:00,06:00:00,1,Lopez Island,0
101390708241,13,07:30:00,07:30:00,2,Lopez Island,0
101390708242,10,08:30:00,08:30:00,1,Lopez Island,0
101390708242,13,09:50:00,09:50:00,2,Lopez Island,0
101390708243,10,11:35:00,11:35:00,1,Lopez Island,0
101390708243,13,13:00:00,13:00:00,2,Lopez Island,0
101390708244,10,13:55:00,13:55:00,1,Lopez Island,0
101390708244,13,14:40:00,14:40:00,2,Lopez Island,0
101390708245,10,14:15:00,14:15:00,1,Lopez Island,0
101390708245,13,15:40:00,15:40:00,2,Lopez Island,0
101390708246,10,15:40:00,15:40:00,1,Lopez Island,0
101390708246,13,16:15:00,16:15:00,2,Lopez Island,0
101390708247,10,17:30:00,17:30:00,1,Lopez Island,0
101390708247,13,18:55:00,18:55:00,2,Lopez Island,0
101390708248,10,22:00:00,22:00:00,1,Lopez Island,0
101390708248,13,23:20:00,23:20:00,2,Lopez Island,0
101390709240,10,05:35:00,05:35:00,1,Lopez Island,0
101390709240,13,06:15:00,06:15:00,2,Lopez Island,0
101390709241,10,06:00:00,06:00:00,1,Lopez Island,0
101390709241,13,07:30:00,07:30:00,2,Lopez Island,0
101390709242,10,08:30:00,08:30:00,1,Lopez Island,0
101390709242,13,09:50:00,09:50:00,2,Lopez Island,0
101390709243,10,11:35:00,11:35:00,1,Lopez Island,0
101390709243,13,13:00:00,13:00:00,2,Lopez Island,0
101390709244,10,13:55:00,13:55:00,1,Lopez Island,0
101390709244,13,14:40:00,14:40:00,2,Lopez Island,0
101390709245,10,14:15:00,14:15:00,1,Lopez Island,0
101390709245,13,15:40:00,15:40:00,2,Lopez Island,0
101390709246,10,15:40:00,15:40:00,1,Lopez Island,0
101390709246,13,16:15:00,16:15:00,2,Lopez Island,0
101390709247,10,17:30:00,17:30:00,1,Lopez Island,0
101390709247,13,18:55:00,18:55:00,2,Lopez Island,0
101390709248,10,22:00:00,22:00:00,1,Lopez Island,0
101390709248,13,23:20:00,23:20:00,2,Lopez Island,0
101390710240,10,05:35:00,05:35:00,1,Lopez Island,0
101390710240,13,06:15:00,06:15:00,2,Lopez Island,0
101390710241,10,06:00:00,06:00:00,1,Lopez Island,0
101390710241,13,07:30:00,07:30:00,2,Lopez Island,0
101390710242,10,08:30:00,08:30:00,1,Lopez Island,0
101390710242,13,09:50:00,09:50:00,2,Lopez Island,0
101390710243,10,11:35:00,11:35:00,1,Lopez Island,0
101390710243,13,13:00:00,13:00:00,2,Lopez Island,0
101390710244,10,13:55:00,13:55:00,1,Lopez Island,0
101390710244,13,14:40:00,14:40:00,2,Lopez Island,0
101390710245,10,14:15:00,14:15:00,1,Lopez Island,0
101390710245,13,15:40:00,15:40:00,2,Lopez Island,0
101390710246,10,15:40:00,15:40:00,1,Lopez Island,0
101390710246,13,16:15:00,16:15:00,2,Lopez Island,0
101390710247,10,17:30:00,17:30:00,1,Lopez Island,0
101390710247,13,18:55:00,18:55:00,2,Lopez Island,0
101390710248,10,22:00:00,22:00:00,1,Lopez Island,0
101390710248,13,23:20:00,23:20:00,2,Lopez Island,0
101390711240,10,05:35:00,05:35:00,1,Lopez Island,0
101390711240,13,06:15:00,06:15:00,2,Lopez Island,0
101390711241,10,06:00:00,06:00:00,1,Lopez Island,0
101390711241,13,07:30:00,07:30:00,2,Lopez Island,0
101390711242,10,08:30:00,08:30:00,1,Lopez Island,0
101390711242,13,09:50:00,09:50:00,2,Lopez Island,0
101390711243,10,11:35:00,11:35:00,1,Lopez Island,0
101390711243,13,13:00:00,13:00:00,2,Lopez Island,0
101390711244,10,13:55:00,13:55:00,1,Lopez Island,0
101390711244,13,14:40:00,14:40:00,2,Lopez Island,0
101390711245,10,14:15:00,14:15:00,1,Lopez Island,0
101390711245,13,15:40:00,15:40:00,2,Lopez Island,0
101390711246,10,15:40:00,15:40:00,1,Lopez Island,0
101390711246,13,16:15:00,16:15:00,2,Lopez Island,0
101390711247,10,17:30:00,17:30:00,1,Lopez Island,0
101390711247,13,18:55:00,18:55:00,2,Lopez Island,0
101390711248,10,22:00:00,22:00:00,1,Lopez Island,0
101390711248,13,23:20:00,23:20:00,2,Lopez Island,0
101390712240,10,05:35:00,05:35:00,1,Lopez Island,0
101390712240,13,06:15:00,06:15:00,2,Lopez Island,0
101390712241,10,06:00:00,06:00:00,1,Lopez Island,0
101390712241,13,07:30:00,07:30:00,2,Lopez Island,0
101390712242,10,08:30:00,08:30:00,1,Lopez Island,0
101390712242,13,09:50:00,09:50:00,2,Lopez Island,0
101390712243,10,11:35:00,11:35:00,1,Lopez Island,0
101390712243,13,13:00:00,13:00:00,2,Lopez Island,0
101390712244,10,13:55:00,13:55:00,1,Lopez Island,0
101390712244,13,14:40:00,14:40:00,2,Lopez Island,0
101390712245,10,14:15:00,14:15:00,1,Lopez Island,0
101390712245,13,15:40:00,15:40:00,2,Lopez Island,0
101390712246,10,15:40:00,15:40:00,1,Lopez Island,0
101390712246,13,16:15:00,16:15:00,2,Lopez Island,0
101390712247,10,17:30:00,17:30:00,1,Lopez Island,0
101390712247,13,18:55:00,18:55:00,2,Lopez Island,0
101390712248,10,22:00:00,22:00:00,1,Lopez Island,0
101390712248,13,23:20:00,23:20:00,2,Lopez Island,0
101390713240,10,05:35:00,05:35:00,1,Lopez Island,0
101390713240,13,06:15:00,06:15:00,2,Lopez Island,0
101390713241,10,06:00:00,06:00:00,1,Lopez Island,0
101390713241,13,07:30:00,07:30:00,2,Lopez Island,0
101390713242,10,08:30:00,08:30:00,1,Lopez Island,0
101390713242,13,09:50:00,09:50:00,2,Lopez Island,0
101390713243,10,11:35:00,11:35:00,1,Lopez Island,0
