route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,peak_offpeak,boarding_type
620,t1FD-b26AD-sl2,2,To SR 512 Park & Ride,0,9901,30,1,0.0,1,0,0
621,t207-b1839-sl2,2,To Northeast Lacey,0,6201,21,1,0.0,1,0,0
66,t20A-b19C9-sl2,2,To Lacey Corporate Center,0,6601,45,1,0.0,1,0,0
620,t20D-b26AE-sl2,2,To SR 512 Park & Ride,0,9902,30,1,0.0,1,0,0
68,t20E-b1A91-sl2,2,To Capital Mall,0,6801,12,1,0.0,1,0,0
621,t216-b1839-sl2,2,To Olympia Transit Center,1,6201,20,1,0.0,1,0,0
622,t216-b183A-sl2,2,To The Meadows,0,6202,39,1,0.0,1,0,0
94,t21B-b24B9-sl2,2,To Yelm Walmart,0,9401,46,1,0.0,1,0,0
620,t21B-b26AF-sl2,2,To SR 512 Park & Ride,0,9903,30,1,0.0,1,0,0
47,t21E-b1771-sl2,2,To Capital Mall,0,6001,14,1,0.0,1,0,0
12,t21E-b4B1-sl2,2,To Olympia Transit Center,1,1201,26,1,0.0,1,0,0
94,t221-b24BC-sl2,2,To Yelm Walmart,0,9404,3,1,0.0,1,0,0
68,t222-b1A92-sl2,2,To Lacey Transit Center,1,6802,35,1,0.0,1,0,0
621,t224-b183C-sl2,2,To Northeast Lacey,0,6204,0,1,0.0,1,0,0
60,t225-b1772-sl2,2,To Olympia Transit Center,1,6002,38,1,0.0,1,0,0
621,t225-b183B-sl2,2,To Northeast Lacey,0,6203,21,1,0.0,1,0,0
620,t226-b26AD-sl2,2,To Olympia Transit Center,1,9901,22,1,0.0,1,0,0
66,t228-b19CA-sl2,2,To Lacey Corporate Center,0,6602,45,1,0.0,1,0,0
622,t229-b183A-sl2,2,To Olympia Transit Center,1,6202,19,1,0.0,1,0,0
620,t22B-b26B0-sl2,2,To SR 512 Park & Ride,0,9904,30,1,0.0,1,0,0
68,t22C-b1A94-sl2,2,To Capital Mall,0,6804,12,1,0.0,1,0,0
66,t22E-b19C9-sl2,2,To Olympia Transit Center,1,6601,18,1,0.0,1,0,0
41,t258-b1006-sl2,2,To Evergreen St College,0,4102,1,1,0.0,1,0,0
21,t258-b1774-sl2,2,To 26th Ave,0,6004,24,1,0.0,1,0,0
622,t258-b183E-sl2,2,To The Meadows,0,6206,11,1,0.0,1,0,0
65,t258-b1A93-sl2,2,To 41st Avenue,0,6803,8,1,0.0,1,0,0
12,t258-b4B2-sl2,2,To Labor and Industries,0,1202,27,1,0.0,1,0,0
60,t259-b1773-sl2,2,To Panorama,0,6003,36,1,0.0,1,0,0
41,t25B-b1005-sl2,2,To Olympia Transit Center,1,4101,25,1,0.0,1,0,0
