service_id,date,exception_type
christmas_eve_2024,20241224,1
event_s2100e0000,20240903,1
event_s2100e0000,20240908,1
event_s2100e0000,20240924,1
event_s2100e0000,20240925,1
event_s2100e0000,20241009,1
event_s2100e0000,20241023,1
event_s2100e0000,20241029,1
event_s2100e0000,20241110,1
event_s2100e0000,20241111,1
event_s2100e0000,20241124,1
event_s2100e0000,20241205,1
event_s2100e2230,20240917,1
event_s2100e2345,20241001,1
event_s2300e0000,20240620,1
event_s2300e0000,20240630,1
event_s2300e0000,20240706,1
event_s2300e0000,20240717,1
event_s2300e0000,20240726,1
event_s2300e0000,20240806,1
event_s2300e0000,20240807,1
event_s2300e0000,20240810,1
event_s2300e0000,20240813,1
event_s2300e0000,20240816,1
event_s2300e0000,20240822,1
event_s2300e0000,20240823,1
event_s2300e0000,20240824,1
event_s2300e0000,20240827,1
event_s2300e0000,20240829,1
event_s2300e0000,20240831,1
event_s2300e0000,20240906,1
event_s2300e0000,20240920,1
event_s2300e0000,20240921,1
event_s2300e0000,20240928,1
event_s2300e0000,20241004,1
event_s2300e0000,20241005,1
event_s2300e0000,20241025,1
event_s2300e0000,20241102,1
event_s2300e0000,20241206,1
independence_day_2024,20240704,1
juneteenth_2024,20240619,1
labor_day_2024,20240902,1
memorial_day_2025,20250526,1
mlk_day_2025,20250120,1
ny_day_2025,20250101,1
ny_eve_2024,20241231,1
ny_eve_post_2025,20250101,1
summer2024_MonFri,20240619,2
summer2024_MonFri,20240704,2
summer2024_MonFri,20240902,2
veterans_day_2024,20241111,1
winter2024_MonThu,20241111,2
winter2024_MonThu,20241128,2
winter2024_MonThu,20241224,2
winter2024_MonThu,20241225,2
winter2024_MonThu,20241231,2
winter2024_MonThu,20250101,2
winter2024_MonThu,20250120,2
