trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2782070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6068,shp-1-57,0,1
4229070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6037,shp-1-57,0,1
3460020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5010,shp-1-01,0,1
4066070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6067,shp-1-57,0,1
1803050,1,1,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5018,shp-1-01,0,1
481010,1,5,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,7013,shp-1-57,0,1
5142050,1,1,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5000,shp-1-01,0,1
3349080,1,4,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6067,shp-1-57,0,1
2290070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6069,shp-1-57,0,1
2467020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5013,shp-1-01,0,1
2443020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5073,shp-1-01,0,1
3129050,1,1,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5028,shp-1-01,0,1
1484020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5094,shp-1-01,0,1
1031020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5000,shp-1-01,0,1
673080,1,4,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6019,shp-1-57,0,1
4601070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6001,shp-1-57,0,1
4139070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6001,shp-1-57,0,1
5077050,1,1,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5013,shp-1-01,0,1
1042020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5036,shp-1-01,0,1
795070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6012,shp-1-57,0,1
1250010,1,5,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,7008,shp-1-57,0,1
795080,1,4,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6012,shp-1-57,0,1
2874020,1,3,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5015,shp-1-01,0,1
2559070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6042,shp-1-57,0,1
650070,1,2,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6042,shp-1-57,0,1
2120050,1,1,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,5010,shp-1-01,0,1
3652080,1,4,"1 6th Ave / Pacific Ave / Mountain Hwy SR7",,0,6012,shp-1-57,0,1
