service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2024-06-24_Jun21_Link_ELSL_Spring2024_Saturday,0,0,0,0,0,1,0,20240624,20240714
LLR_2024-06-24_Jun21_Link_ELSL_Spring2024_Sunday,0,0,0,0,0,0,1,20240624,20240714
LLR_2024-06-24_Jun21_Link_ELSL_Spring2024_Weekday,1,1,1,1,1,0,0,20240624,20240714
LLR_2024-07-15_Jun27_Fall2024_LLE_Initial_Saturday,0,0,0,0,0,1,0,20240715,20240830
LLR_2024-07-15_Jun27_Fall2024_LLE_Initial_Sunday,0,0,0,0,0,0,1,20240715,20240830
LLR_2024-07-15_Jun27_Fall2024_LLE_Initial_Weekday,1,1,1,1,1,0,0,20240715,20240830
LLR_2024-08-31_Jun27_Fall2024_LLE_Initial_Saturday,0,0,0,0,0,1,0,20240831,20240913
LLR_2024-08-31_Jun27_Fall2024_LLE_Initial_Sunday,0,0,0,0,0,0,1,20240831,20240913
LLR_2024-08-31_Jun27_Fall2024_LLE_Initial_Weekday,1,1,1,1,1,0,0,20240831,20240913
LLR_2024-09-14_Jun27_Fall2024_Saturday,0,0,0,0,0,1,0,20240914,20250328
LLR_2024-09-14_Jun27_Fall2024_Sunday,0,0,0,0,0,0,1,20240914,20250328
LLR_2024-09-14_Jun27_Fall2024_Weekday,1,1,1,1,1,0,0,20240914,20250328
SNDR_Fall2024_Weekday,1,1,1,1,1,0,0,20240916,20250328
TLINE_2023_HTLE12_Saturday,0,0,0,0,0,1,0,20240501,20250328
TLINE_2023_HTLE12_Sunday,0,0,0,0,0,0,1,20240501,20250328
TLINE_2023_HTLE12_Weekday,1,1,1,1,1,0,0,20240501,20250328
WD_SNDR_20230320_Weekday,1,1,1,1,1,0,0,20240501,20240915
