facility_id,property_id,value
C03-VC-All,alternate-service-text,"If traveling toward Northgate, ride the 1 Line to University St Station, use Exit A1 to 3rd Avenue & University Street, board any bus at 3rd Ave & Union Street, and ride one stop to reach Westlake Station.\n\nIf traveling toward Angle Lake, ride the 1 Line to Capitol Hill Station and transfer to King County Metro Route 10 (at Broadway and E John St) or Route 49 (at Broadway & E Denny Way) and exit Pine St & 5th Ave to reach Westlake Station."
C03-VC-N,alternate-service-text,"To exit via elevator, ride the 1 Line to Capitol Hill Station and transfer to an Angle Lake train to return to Westlake Station.\n\nTo board a train to Northgate, ride the 1 Line to University Street Station and transfer to a Northgate train.\n\nThe elevators serving Angle Lake trains are operating."
C03-VC-N,excludes-stop,1108
C03-VC-S,alternate-service-text,"To exit via elevator, ride the 1 Line to University Street Station and transfer to a Northgate train to return to Westlake Station.\n\nTo board a train to Angle Lake, ride the 1 Line to Capitol Hill Station and transfer to an Angle Lake train.\n\nThe elevators serving Northgate trains are operating."
C03-VC-S,excludes-stop,1121
C05-VC-All,alternate-service-text,"If traveling toward Northgate, ride the 1 Line to Pioneer Square Station, use Exit A to 3rd Avenue & James Street, and transfer to any bus to reach University Street Station.\n\nIf traveling toward Angle Lake, ride the 1 Line to Westlake Station, use Exits C1 or C2 to 3rd Avenue & Pine Street, transfer to any bus, and ride one stop to University Street Station."
C05-VC-M,alternate-service-text,"When the Exit C elevator is not operating, passengers requiring elevator service can use either the Exit A2 elevator to 3rd Avenue & University Street, or the accessible Exit B pathway to exit at 2nd Ave & University St."
C05-VC-N,alternate-service-text,"To exit via elevator, ride the 1 Line to Westlake Station and transfer to an Angle Lake train and return to University Street Station.\n\nTo board a train to Northgate, use the southbound platform elevators, ride the 1 Line to Pioneer Square Station and transfer to a Northgate train.\n\nThe elevators serving Angle Lake trains are operating."
C05-VC-N,excludes-stop,455
C05-VC-S,alternate-service-text,"To exit via elevator, ride the 1 Line to Pioneer Square Station and transfer to a Northgate train to return to University Street Station.\n\nTo board a train to Angle Lake, ride the 1 Line to Westlake Station to transfer to an Angle Lake train. The elevators serving Northgate trains are operating."
C05-VC-S,excludes-stop,565
C07-VC-All,alternate-service-text,"If traveling toward Northgate, ride the 1 Line to International District/Chinatown Station, use Exit A, cross Jackson Street, and transfer to any bus at 5th Avenue & Jackson Street to reach Pioneer Square Station.\n\nIf traveling toward Angle Lake, ride the 1 Line to University St Station, use Exit A2 to 3rd Avenue and University Street, and board any bus (except Route 2) to reach Pioneer Square Station."
C07-VC-MA,alternate-service-text,"To exit via elevator, ride the 1 Line to University St Station, use Exit A2 to 3rd Avenue & University St, and ride any bus (except Route 2) to reach Pioneer Square Station.\n\nTo board a train to Northgate, riders may either access the station via the Yesler Way entrance (Exit C) or ride any bus from 3rd Ave & James St and transfer to the 1 Line at University St Station.\n\nTo board a train to Angle Lake, riders may either access the station via the Yesler Way entrance (Exit C) or ride King County Metro routes 7, 14, or 36 to reach International District/Chinatown Station."
C07-VC-MC,alternate-service-text,"To exit via elevator, ride the 1 Line to University St Station, use Exit C to Yesler Way, and ride any bus (except Route 2) to reach Pioneer Square Station.\n\nTo board a train to Northgate, riders may either access the station via the James St entrance (Exit A2) or ride any bus from 3rd Ave & James St and transfer to the 1 Line at University St Station.\n\nTo board a train to Angle Lake, riders may either access the station via the James St entrance (Exit A2) or ride King County Metro routes 7, 14, or 36 to reach International District/Chinatown Station."
